"month","total_orders","total_revenue"
"2016-10","282","46566.71000000001"
"2016-12","1","19.62"
"2017-01","799","127545.66999999995"
"2017-02","1749","271298.64999999997"
"2017-03","2700","414369.38999999966"
"2017-04","2436","390952.1799999995"
"2017-05","3787","567066.73"
"2017-06","3323","490225.6000000003"
"2017-07","4147","566403.9300000006"
"2017-08","4393","646000.6100000016"
"2017-09","4371","701169.9900000009"
"2017-10","4698","751140.2700000035"
"2017-11","7593","1153528.0500000012"
"2017-12","5729","843199.1700000009"
"2018-01","7351","1078606.860000005"
"2018-02","6776","966510.8800000022"
"2018-03","7297","1120677.999999997"
"2018-04","7067","1132933.9499999995"
"2018-05","7002","1128836.69"
"2018-06","6350","1012090.6799999976"
"2018-07","6370","1027903.8599999989"
"2018-08","6535","985414.2799999984"
