"customer_state","customer_city","total_orders","total_revenue"
"SP","sao paulo","15045","2108162.2200000044"
"RJ","rio de janeiro","6601","1111872.319999993"
"MG","belo horizonte","2697","406050.8700000003"
"DF","brasilia","2071","345221.8700000003"
"PR","curitiba","1489","238582.25999999972"
"RS","porto alegre","1342","214861.83"
"SP","campinas","1406","209028.9699999996"
"BA","salvador","1188","207790.89000000013"
"SP","guarulhos","1144","157750.04"
"RJ","niteroi","825","135458.19"
"SP","sao bernardo do campo","911","116785.20999999992"
"GO","goiania","660","113351.1999999999"
"SP","santos","700","111170.10999999999"
"SP","santo andre","777","101772.61999999991"
"SC","florianopolis","556","97865.39000000003"
"SP","osasco","724","92461.01999999983"
"SP","jundiai","549","90314.81999999992"
"SP","sao jose dos campos","667","86492.49999999996"
"SP","sorocaba","609","85053.30999999994"
"MG","juiz de fora","423","74856.61999999998"
"SP","ribeirao preto","499","74211.13000000002"
"RJ","nova iguacu","423","68470.07"
"ES","vitoria","373","61443.54999999998"
"RJ","sao goncalo","385","59387.42"
"MG","contagem","415","57240.60999999995"
"SP","barueri","419","57077.10999999998"
"SP","mogi das cruzes","374","56778.420000000006"
"MG","uberlandia","367","55691.91999999996"
"SP","piracicaba","356","55621.15999999996"
"ES","vila velha","326","54654.52999999999"
"SP","sao jose do rio preto","329","53296.629999999976"
"PR","londrina","298","52428.41000000001"
"SP","maua","317","48113.08999999996"
"SP","bauru","263","44292.80999999998"
"PR","maringa","260","44263.88000000001"
"SP","praia grande","296","43271.510000000046"
"RS","caxias do sul","220","41558.67999999999"
"ES","serra","278","41555.069999999956"
"SP","indaiatuba","274","41313.439999999995"
"SC","joinville","257","40508.69000000002"
"SP","taboao da serra","284","39300.68000000003"
"RJ","volta redonda","227","38606.530000000006"
"RJ","petropolis","234","38519.64999999996"
"RJ","duque de caxias","250","38406.229999999974"
"MG","divinopolis","132","38392.729999999996"
"RJ","campos dos goytacazes","232","37761.239999999976"
"SP","marilia","194","37219.87999999998"
"RS","santa maria","193","37085.560000000005"
"SP","carapicuiba","316","36704.65"
"RJ","macae","228","36583.21999999999"
"SP","sao caetano do sul","272","36430.81999999997"
"SP","sao carlos","231","33906.409999999974"
"SP","taubate","260","33717.73"
"SP","cotia","242","33665.270000000004"
"SP","diadema","276","33304.99999999999"
"SP","guaruja","217","32647.070000000003"
"MG","betim","196","32101.509999999984"
"MG","uberaba","186","31881.58"
"RS","canoas","205","31602.36"
"BA","feira de santana","181","31426.999999999993"
"MG","montes claros","207","30722.39999999999"
"RJ","nova friburgo","142","30715.390000000003"
"SP","presidente prudente","157","29166.5"
"SC","blumenau","181","28625.750000000015"
"SP","suzano","230","28159.46000000001"
"SP","americana","216","28142.819999999996"
"RS","pelotas","183","27209.329999999998"
"PR","cascavel","146","27148.379999999983"
"SP","limeira","186","26060.739999999998"
"MG","ipatinga","169","25958.559999999998"
"SP","santana de parnaiba","178","25866.020000000004"
"SP","franca","154","25275.25"
